time;logger;level;message;exception
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenCommitByRevisionRange;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: RavenCommitByDate;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: RavenCommitsByDispatched;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: RavenCommitByRevisionRange;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 2 documents for index: RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitsByDispatched' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:3cffee1d-382b-469b-b3e4-9fb201634bfd/1> indexed,omitNorms<Dispatched:true>>;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitByDate' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:3cffee1d-382b-469b-b3e4-9fb201634bfd/1> indexed,omitNorms<CommitStamp:20111207203338914>>;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitByRevisionRange' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:3cffee1d-382b-469b-b3e4-9fb201634bfd/1> indexed,tokenized<StreamId:3cffee1d-382b-469b-b3e4-9fb201634bfd> indexed,omitNorms<StartingStreamRevision:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<StartingStreamRevision_Range:1> indexed,omitNorms<StreamRevision:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<StreamRevision_Range:1>>;
2011-12-07 21:33:39.8356;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:39.8716;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenStreamHeadBySnapshotAge' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:streamheads/3cffee1d-382b-469b-b3e4-9fb201634bfd> indexed,omitNorms<SnapshotAge:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<SnapshotAge_Range:1>>;
2011-12-07 21:33:39.8716;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenCommitsByDispatched;
2011-12-07 21:33:39.8716;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenCommitByRevisionRange;
2011-12-07 21:33:39.8716;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenCommitByDate;
2011-12-07 21:33:39.8856;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 1 documents for RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:39.9126;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2011-12-07 21:33:39.9126;Raven.Database.DocumentDatabase;Debug;Putting a document with key: DocumentDto/3cffee1d-382b-469b-b3e4-9fb201634bfd and etag ;
2011-12-07 21:33:39.9126;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'DocumentDto/3cffee1d-382b-469b-b3e4-9fb201634bfd', update: False, ;
2011-12-07 21:33:39.9126;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
2011-12-07 21:33:39.9126;Raven.Database.Server.HttpServer;Debug;Request #  18: POST    -     1 ms - <default>  - 200 - /bulk_docs;
2011-12-07 21:33:39.9126;Raven.Database.Server.HttpServer;Debug;"	PUT DocumentDto/3cffee1d-382b-469b-b3e4-9fb201634bfd
";
2011-12-07 21:33:39.9126;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitByDate;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitsByDispatched;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitByRevisionRange;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenCommitByRevisionRange;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenCommitByDate;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenCommitsByDispatched;
2011-12-07 21:33:39.9126;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:40.3556;Raven.Database.DocumentDatabase;Debug;Executing batched commands in a single transaction;
2011-12-07 21:33:40.3556;Raven.Database.DocumentDatabase;Debug;Putting a document with key: 6ae32372-391e-4c21-9229-9fb20163515b/1 and etag 00000000-0000-0000-0000-000000000000;
2011-12-07 21:33:40.3556;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key '6ae32372-391e-4c21-9229-9fb20163515b/1', update: False, ;
2011-12-07 21:33:40.3556;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitByDate;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitsByDispatched;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenCommitByRevisionRange;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitByDate' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:6ae32372-391e-4c21-9229-9fb20163515b/1> indexed,omitNorms<CommitStamp:20111207203340351>>;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitsByDispatched' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:6ae32372-391e-4c21-9229-9fb20163515b/1> indexed,omitNorms<Dispatched:false>>;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenSnapshotByStreamIdAndRevision;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.Index.Indexing;Debug;Index 'RavenCommitByRevisionRange' resulted in: Document<stored/uncompressed,indexed,tokenized,omitNorms<__document_id:6ae32372-391e-4c21-9229-9fb20163515b/1> indexed,tokenized<StreamId:6ae32372-391e-4c21-9229-9fb20163515b> indexed,omitNorms<StartingStreamRevision:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<StartingStreamRevision_Range:1> indexed,omitNorms<StreamRevision:1> indexed,tokenized,omitNorms,omitTermFreqAndPositions<StreamRevision_Range:1>>;
2011-12-07 21:33:40.3556;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 0 documents for RavenStreamHeadBySnapshotAge;
2011-12-07 21:33:40.3556;Raven.Database.Server.HttpServer;Debug;Request #  19: POST    -     1 ms - <default>  - 200 - /bulk_docs;
2011-12-07 21:33:40.3556;Raven.Database.Server.HttpServer;Debug;"	PUT 6ae32372-391e-4c21-9229-9fb20163515b/1
";
2011-12-07 21:33:40.3556;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'StreamHeads/6ae32372-391e-4c21-9229-9fb20163515b' was not found;
